currencyPurchase,pricePurchase,expensesCurrency,expensesPrice,direcction,coveredArea,bedrooms,antiquity,toilets,environments,garages,condition,provision
USD,148.000,$,22.000,Palpa 2500,55,2,10000,1,3,0,Excelente ,Contra frente 
USD,685.000,$,105.000,Cabello 3900,0,3,10000,3,5,1,Excelente ,Frente 
USD,170.000,$,29.000,LAFINUR  3000,80,3,10000,2,4,0,Excelente ,Contra frente 
USD,382.000,$,90.000,GOROSTIAGA  1500,0,3,10000,4,4,1,Excelente ,Frente 
USD,220.000,$,38.000,Charcas 4000,95,3,10000,2,4,0,Excelente ,Frente 
USD,152.000,$,25.000,TEODORO GARCIA 2300,53,1,10000,2,2,0, ,Frente 
USD,114.000,$,19.000,GÜEMES 3900,50,2,10000,1,3,0, ,Frente 
USD,215.000,$,40.000,"ORO, FRAY JUSTO SANTAMARIA DE 2800",53,1,10000,1,2,0,Excelente ,Lateral 
USD,143.000,$,48.000,Soler al 3700,62,2,10000,1,3,0, ,
USD,129.999,$,0,Borges al 2100,39,1,10000,1,2,1, ,
USD,197.999,$,0,BORGES 2100,63,2,10000,1,3,1, ,Frente 
USD,84.999,$,0,SOLER  al 4200,33,0,10000,1,Monoambiente,0, ,Contra frente 
USD,94.999,$,3.000,Acuña de Figueroa al 1200,34,1,10000,1,2,0, ,Frente 
USD,149.999,$,0,BORGES 2100,48,1,10000,1,2,1, ,Contra frente 
USD,139.999,$,0,Borges al 2100,39,1,10000,1,2,1, ,Contra frente 
USD,265.000,$,78.200,AV CABILDO al 100,109,3,10000,3,4,0, ,
USD,212.600,$,0,Jorge Luis Borges  2100,64,2,10000,2,3,0, ,Frente 
USD,189.000,$,22.000,Niceto Vega  al 5800 entre Carranza y Ravignani,75,2,10000,1,3,0, ,
USD,147.900,$,15.000,"Borges 2100, Piso 5",47,1,10000,1,2,0,Excelente ,Frente 
USD,260.000,$,45.000,Soler al 3700,104,3,10000,2,4,1, ,Frente 
